Number_Of_Points,Running_Time_In_Microseconds
1,0
2,0
3,0
4,1
5,1
6,1
7,1
8,1
9,2
10,1
11,2
12,2
13,2
14,10
15,10
16,3
17,2
18,13
19,3
20,9
21,9
22,4
23,6
24,12
25,5
26,15
27,6
28,8
29,7
30,20
31,11
32,10
33,11
34,23
35,31
36,14
37,13
38,23
39,17
40,18
41,17
42,19
43,22
44,23
45,30
46,41
47,42
48,30
49,40
50,43
51,41
52,31
53,33
54,42
55,39
56,42
57,56
58,46
59,50
60,52
61,54
62,65
63,58
64,66
65,66
66,66
67,72
68,75
69,82
70,90
71,90
72,81
73,85
74,87
75,94
76,101
77,109
78,112
79,139
80,121
81,115
82,136
83,125
84,160
85,149
86,146
87,146
88,170
89,166
90,185
91,173
92,169
93,175
94,190
95,202
96,201
97,198
98,208
99,240
100,215
101,241
102,228
103,237
104,249
105,251
106,256
107,282
108,281
109,281
110,316
111,301
112,316
113,324
114,322
115,335
116,346
117,365
118,368
119,374
120,389
121,418
122,414
123,442
124,431
125,439
126,442
127,455
128,478
129,483
130,509
131,504
132,518
133,535
134,560
135,577
136,572
137,598
138,588
139,601
140,617
141,663
142,652
143,654
144,683
145,698
146,713
147,737
148,744
149,766
150,767
151,799
152,822
153,829
154,842
155,896
156,875
157,893
158,920
159,1063
160,1080
161,972
162,986
163,1028
164,1024
165,1052
166,1103
167,1094
168,1138
169,1171
170,1146
171,1243
172,1194
173,1225
174,1264
175,1320
176,1282
177,1320
178,1321
179,1345
180,1372
181,1416
182,1438
183,1464
184,1467
185,1542
186,1545
187,1552
188,1645
189,1622
190,1648
191,1673
192,1729
193,1817
194,1777
195,1803
196,1831
197,1944
198,1936
199,1932
200,1942
201,1970
202,2012
203,2143
204,2140
205,2150
206,2162
207,2170
208,2214
209,2280
210,2330
211,2319
212,2362
213,2377
214,2402
215,2453
216,2491
217,2556
218,2662
219,2624
220,2671
221,2750
222,2715
223,2779
224,2790
225,2845
226,2952
227,2973
228,2954
229,3040
230,3036
231,3170
232,3114
233,3175
234,3305
235,3379
236,3298
237,3425
238,3400
239,3508
240,3504
241,3539
242,3603
243,3681
244,3735
245,4231
246,4384
247,5019
248,5078
249,5170
250,5157
251,4576
252,4616
253,4142
254,4161
255,4280
256,4303
257,4453
258,4405
259,4433
260,4614
261,4564
262,4802
263,4697
264,4860
265,4829
266,4881
267,4886
268,4998
269,5178
270,5170
271,5174
272,5246
273,5272
274,5419
275,5463
276,5557
277,5528
278,5569
279,5766
280,5726
281,5826
282,5921
283,6056
284,6007
285,6087
286,6125
287,6177
288,6325
289,6356
290,6473
291,6459
292,6546
293,6629
294,6721
295,6810
296,6830
297,7076
298,7049
299,7075
300,7177
301,7210
302,7284
303,7443
304,7452
305,7681
306,7652
307,7709
308,7849
309,7997
310,7956
311,8021
312,8108
313,8200
314,8295
315,8354
316,8469
317,8683
318,8747
319,8685
320,8801
321,8853
322,9076
323,9079
324,9137
325,9255
326,9403
327,9459
328,9624
329,9579
330,9664
331,9854
332,9876
333,10063
334,10088
335,10182
336,10352
337,10569
338,10517
339,10574
340,10838
341,10766
342,10924
343,10979
344,11083
345,11152
346,11316
347,11401
348,11530
349,11799
350,11677
351,11833
352,11913
353,12188
354,12090
355,12405
356,12319
357,12685
358,12937
359,13068
360,12756
361,12980
362,13048
363,13169
364,13226
365,13489
366,13493
367,13624
368,13891
369,13878
370,14006
371,14223
372,14230
373,14287
374,14521
375,14582
376,14762
377,15022
378,14936
379,15175
380,15236
381,15351
382,15477
383,15598
384,15957
385,16020
386,15955
387,16274
388,16485
389,16633
390,16794
391,16618
392,16802
393,16978
394,17203
395,17259
396,17679
397,17549
398,17584
399,17883
400,18019
401,18155
402,18313
403,18393
404,18481
405,18529
406,18836
407,18917
408,19105
409,19241
410,19307
411,19481
412,19896
413,20077
414,20143
415,20032
416,20284
417,20371
418,20865
419,20967
420,20901
421,21145
422,21412
423,21305
424,21693
425,21662
426,21992
427,22131
428,22207
429,22438
430,22520
431,23297
432,23134
433,23132
434,23333
435,23405
436,23559
437,23698
438,24042
439,24184
440,24130
441,24302
442,24613
443,24728
444,24881
445,25085
446,25213
447,25798
448,25542
449,26029
450,26369
451,26436
452,26858
453,26751
454,26832
455,26913
456,27013
457,27258
458,27832
459,27621
460,28311
461,28174
462,28638
463,28610
464,28554
465,28837
466,29193
467,29528
468,29547
469,29769
470,29849
471,30008
472,30422
473,30925
474,30687
475,30939
476,31183
477,31585
478,31807
479,31645
480,32181
481,32221
482,32305
483,32647
484,32672
485,32999
486,33211
487,33446
488,33589
489,34038
490,34134
491,34498
492,34422
493,34823
494,35208
495,37897
496,39151
497,35741
498,36231
499,36768
500,36541
501,36742
502,37135
503,37069
504,37689
505,37530
506,37846
507,38251
508,38098
509,38497
510,38767
511,39153
512,39287
513,39733
514,39808
515,40097
516,40299
517,40800
518,46207
519,41286
520,41580
521,42578
522,41907
523,42429
524,42462
525,42770
526,43024
527,43000
528,43414
529,43861
530,44155
531,44140
532,44483
533,44281
534,44626
535,44920
536,45550
537,45619
538,45765
539,46197
540,46500
541,46888
542,47318
543,47597
544,47373
545,48024
546,47959
547,48525
548,48810
549,48699
550,49279
551,49276
552,49982
553,49953
554,49969
555,50493
556,50664
557,51661
558,51593
559,52136
560,52103
561,52412
562,53016
563,53337
564,53484
565,53612
566,54467
567,54267
568,54633
569,54523
570,54828
571,55583
572,55654
573,56620
574,56458
575,56810
576,57041
577,56963
578,57236
579,57669
580,58133
581,58537
582,58808
583,59981
584,59690
585,59788
586,60054
587,60385
588,60318
589,61343
590,61591
591,61795
592,62472
593,62365
594,62757
595,63398
596,63471
597,64353
598,64010
599,64318
600,64760
601,65512
602,65468
603,65529
604,66003
605,66202
606,66659
607,67225
608,67270
609,67486
610,68297
611,68673
612,69235
613,69132
614,69282
615,69851
616,70455
617,70524
618,70729
619,71177
620,72087
621,72248
622,72143
623,72677
624,73249
625,73311
626,73617
627,73995
628,75046
629,74811
630,75314
631,76259
632,76096
633,76751
634,76629
635,77076
636,77781
637,77916
638,78865
639,78991
640,79174
641,80040
642,80001
643,79909
644,80295
645,81379
646,81741
647,82087
648,82510
649,82583
650,82976
651,83778
652,83649
653,84430
654,85079
655,85274
656,86127
657,86527
658,86191
659,86763
660,86809
661,88506
662,88079
663,88324
664,88424
665,89470
666,89670
667,90199
668,91003
669,90888
670,91855
671,91495
672,92034
673,93031
674,92944
675,93309
676,94266
677,94497
678,97359
679,95132
680,95621
681,96849
682,96143
683,96951
684,97340
685,97927
686,98367
687,98932
688,99314
689,99339
690,100217
691,100475
692,100947
693,101356
694,101709
695,102769
696,102583
697,103339
698,103944
699,104585
700,104681
701,105318
702,105506
703,106091
704,106867
705,107321
706,107312
707,108563
708,108568
709,108993
710,110304
711,110680
712,110638
713,111216
714,111351
715,112831
716,112608
717,114456
718,113885
719,114225
720,114480
721,115200
722,115855
723,117041
724,117151
725,123005
726,117066
727,117754
728,118411
729,119561
730,119927
731,120289
732,120200
733,121756
734,121693
735,122704
736,122973
737,123743
738,124385
739,124076
740,124994
741,126518
742,126467
743,126384
744,126056
745,126929
746,127367
747,128322
748,128399
749,129847
750,129325
751,131022
752,131238
753,130981
754,132358
755,132150
756,132717
757,133451
758,135318
759,134145
760,134875
761,135796
762,135990
763,138030
764,138620
765,138484
766,138690
767,138771
768,139940
769,140346
770,141569
771,141497
772,142453
773,142283
774,143304
775,143828
776,143966
777,144375
778,146042
779,146690
780,146226
781,148992
782,147990
783,147914
784,149245
785,149272
786,150142
787,149969
788,150505
789,151036
790,152212
791,153423
792,152819
793,153590
794,153835
795,154613
796,156290
797,155681
798,156155
799,157047
800,159240
801,158485
802,159215
803,161844
804,162025
805,162240
806,162420
807,163946
808,164881
809,165650
810,165336
811,166726
812,166796
813,167423
814,168124
815,167786
816,168455
817,169391
818,170332
819,171380
820,170929
821,172860
822,173748
823,173149
824,173295
825,173603
826,174863
827,175437
828,176248
829,176480
830,177416
831,179009
832,178747
833,180043
834,180076
835,181145
836,181187
837,183160
838,182564
839,182966
840,183797
841,184645
842,185966
843,186540
844,188347
845,209541
846,189208
847,191536
848,190324
849,191105
850,192565
851,192518
852,193953
853,195408
854,194301
855,195724
856,195923
857,196469
858,198353
859,197868
860,198670
861,200035
862,201207
863,201292
864,201496
865,202372
866,204820
867,203536
868,203532
869,205366
870,205837
871,205864
872,207033
873,206824
874,207632
875,208901
876,208900
877,210941
878,210432
879,212177
880,212519
881,213778
882,215424
883,214564
884,215297
885,217282
886,218492
887,217866
888,218383
889,219042
890,220892
891,220464
892,221390
893,222678
894,223132
895,224215
896,224877
897,225497
898,228281
899,227851
900,228992
901,229624
902,229319
903,233205
904,231510
905,232779
906,234094
907,235052
908,235614
909,234716
910,237595
911,237327
912,238681
913,239462
914,241564
915,241445
916,242595
917,244250
918,244856
919,246806
920,244986
921,248707
922,247408
923,249369
924,248868
925,249636
926,250706
927,252251
928,254205
929,252629
930,253011
931,253455
932,253801
933,255123
934,258301
935,256276
936,257644
937,257857
938,261514
939,261815
940,262218
941,261279
942,261836
943,262836
944,266535
945,265984
946,265903
947,268145
948,267674
949,270436
950,269850
951,270924
952,271767
953,273822
954,274178
955,275444
956,275928
957,277266
958,278072
959,278506
960,279036
961,280025
962,282736
963,284555
964,282964
965,285406
966,284805
967,284808
968,285512
969,286304
970,288424
971,289752
972,289891
973,292352
974,291373
975,294043
976,293596
977,294733
978,295423
979,296388
980,297220
981,299273
982,298479
983,302177
984,301441
985,303755
986,302851
987,303477
988,306879
989,305924
990,306960
991,310247
992,309247
993,310102
994,312312
995,313861
996,313813
997,315005
998,315247
999,315618
1000,318350
1001,318965
1002,318443
1003,321474
1004,320072
1005,321232
1006,323951
1007,324055
1008,323369
1009,328176
1010,327509
1011,329741
1012,327443
1013,330889
1014,330888
1015,332922
1016,334208
1017,333083
1018,333052
1019,335637
1020,336553
1021,347703
1022,340300
1023,340773
1024,341152
1025,341664
1026,343355
1027,344659
1028,345379
1029,347247
1030,349017
1031,349913
1032,353314
1033,354203
1034,353892
1035,354184
1036,362838
1037,357961
1038,356059
1039,357558
1040,358226
1041,360665
1042,359287
1043,363467
1044,366106
1045,365896
1046,363621
1047,368918
1048,369802
1049,371078
1050,369549
1051,372887
1052,370404
1053,375019
1054,375169
1055,376371
1056,373107
1057,376870
1058,379956
1059,379501
1060,379870
1061,381020
1062,382323
1063,386069
1064,384983
1065,383455
1066,386210
1067,388338
1068,390241
1069,390370
1070,391585
1071,392582
1072,393771
1073,394156
1074,395174
1075,397438
1076,399452
1077,397733
1078,398493
1079,400993
1080,401670
1081,403042
1082,404202
1083,405310
1084,406916
1085,407451
1086,411509
1087,410354
1088,419365
1089,409773
1090,414552
1091,415618
1092,416167
1093,423319
1094,419305
1095,422248
1096,422269
1097,420947
1098,422773
1099,424202
1100,426659
1101,429605
1102,428025
1103,431006
1104,429912
1105,433141
1106,431361
1107,432966
1108,437614
1109,436905
1110,439361
1111,438242
1112,440321
1113,441916
1114,443380
1115,444557
1116,445451
1117,447049
1118,448797
1119,450003
1120,452825
1121,450933
1122,455683
1123,452479
1124,454568
1125,457048
1126,457881
1127,457985
1128,459675
1129,460941
1130,463041
1131,464023
1132,465493
1133,465026
1134,465535
1135,468408
1136,471632
1137,471380
1138,474148
1139,474855
1140,477726
1141,476396
1142,477193
1143,478155
1144,482729
1145,480196
1146,481231
1147,484687
1148,486381
1149,487016
1150,489288
1151,488267
1152,489737
1153,492472
1154,491507
1155,495606
1156,497761
1157,496588
1158,501812
1159,500829
1160,501804
1161,504214
1162,503660
1163,504123
1164,508410
1165,507733
1166,509344
1167,509435
1168,513168
1169,514145
1170,515150
1171,519221
1172,519067
1173,519196
1174,519517
1175,521597
1176,521769
1177,523521
1178,527316
1179,525529
1180,530616
1181,530823
1182,530031
1183,532658
1184,534471
1185,535118
1186,539969
1187,537691
1188,539656
1189,540197
1190,541625
1191,545401
1192,545188
1193,542001
1194,547528
1195,551359
1196,550766
1197,554679
1198,555309
1199,557363
1200,558833
1201,558659
1202,557560
1203,560690
1204,560866
1205,567029
1206,565312
1207,568077
1208,566170
1209,567382
1210,573143
1211,571905
1212,574274
1213,576314
1214,577594
1215,580454
1216,581163
1217,580049
1218,584496
1219,587566
1220,584466
1221,586962
1222,591847
1223,593879
1224,592097
1225,593797
1226,595458
1227,598138
1228,595537
1229,600420
1230,601524
1231,603380
1232,602250
1233,606902
1234,606593
1235,616387
1236,615241
1237,609342
1238,609132
1239,613666
1240,615590
1241,618919
1242,617254
1243,622168
1244,621860
1245,626128
1246,624971
1247,625051
1248,628362
1249,633831
1250,633255
1251,632200
1252,634134
1253,638666
1254,637624
1255,638858
1256,640912
1257,643035
1258,646993
1259,646039
1260,646785
1261,648044
1262,650357
1263,651702
1264,654585
1265,657486
1266,657189
1267,659308
1268,659041
1269,660033
1270,662151
1271,663767
1272,667260
1273,675663
1274,671816
1275,668683
1276,671642
1277,673789
1278,677146
1279,678391
1280,678128
1281,679701
1282,681966
1283,683699
1284,687586
1285,685890
1286,687154
1287,687001
1288,691626
1289,694863
1290,694773
1291,697741
1292,695593
1293,697097
1294,701534
1295,701301
1296,702339
1297,701115
1298,709762
1299,709713
1300,711138
1301,715259
1302,714249
1303,717817
1304,716396
1305,722242
1306,721241
1307,722118
1308,726713
1309,725181
1310,727057
1311,728256
1312,730893
1313,736341
1314,734035
1315,736099
1316,739187
1317,738778
1318,741108
1319,743739
1320,744410
1321,745205
1322,750045
1323,751998
1324,754857
1325,754281
1326,753062
1327,758059
1328,759637
1329,758463
1330,761994
1331,768074
1332,768819
1333,769583
1334,771525
1335,772809
1336,773136
1337,778305
1338,779670
1339,778345
1340,780510
1341,784688
1342,785831
1343,784792
1344,786820
1345,800125
1346,793086
1347,800845
1348,793704
1349,800611
1350,800483
1351,801081
1352,806639
1353,810235
1354,810324
1355,816220
1356,809205
1357,810133
1358,815933
1359,811659
1360,813158
1361,814803
1362,816721
1363,818142
1364,821948
1365,828124
1366,824797
1367,826333
1368,828460
1369,832532
1370,833559
1371,842887
1372,837046
1373,843454
1374,845885
1375,846669
1376,847665
1377,846948
1378,859945
1379,879768
1380,869227
1381,870654
1382,857753
1383,867084
1384,862100
1385,872128
1386,872240
1387,873832
1388,870407
1389,880597
1390,872236
1391,873681
1392,880339
1393,876983
1394,882749
1395,879909
1396,894909
1397,889239
1398,885191
1399,893505
1400,903361
1401,893090
1402,893514
1403,901523
1404,901134
1405,909030
1406,905768
1407,906587
1408,911469
1409,918255
1410,917035
1411,915936
1412,917399
1413,921762
1414,923579
1415,928536
1416,926316
1417,926004
1418,937750
1419,933678
1420,926977
1421,944982
1422,935840
1423,941055
1424,940725
1425,944563
1426,947689
1427,946304
1428,951677
1429,948595
1430,951130
1431,954764
1432,955197
1433,959932
1434,959052
1435,964063
1436,961377
1437,968670
1438,969651
1439,974259
1440,978794
1441,979185
1442,986898
1443,999509
1444,985278
1445,986576
1446,991284
1447,994723
1448,995533
1449,995342
1450,995580
1451,995057
1452,1006703
1453,999005
1454,998139
1455,1002564
1456,1005582
1457,1006800
1458,1007163
1459,1015961
1460,1011307
1461,1015312
1462,1015781
1463,1018534
1464,1026174
1465,1024148
1466,1025849
1467,1032080
1468,1028381
1469,1033252
1470,1035344
1471,1040981
1472,1041001
1473,1041749
1474,1050014
1475,1052102
1476,1050030
1477,1056452
1478,1053329
1479,1056017
1480,1067428
1481,1060909
1482,1065708
1483,1066782
1484,1067184
1485,1068964
1486,1074011
1487,1077143
1488,1076066
1489,1078109
1490,1080507
1491,1077660
1492,1080611
1493,1082527
1494,1085435
1495,1087253
1496,1089530
1497,1091816
1498,1098943
1499,1095751
1500,1098441
1501,1103458
1502,1106216
1503,1106134
1504,1109739
1505,1110702
1506,1112402
1507,1115555
1508,1122648
1509,1125017
1510,1129017
1511,1125984
1512,1127796
1513,1133697
1514,1135547
1515,1133807
1516,1133491
1517,1135612
1518,1146769
1519,1148947
1520,1146102
1521,1150462
1522,1151995
1523,1151378
1524,1160776
1525,1161734
1526,1164031
1527,1160170
1528,1165153
1529,1169572
1530,1171831
1531,1174698
1532,1180872
1533,1176085
1534,1184318
1535,1180843
1536,1179905
1537,1190106
1538,1185675
1539,1189360
1540,1190754
1541,1195602
1542,1197531
1543,1203376
1544,1202554
1545,1211239
1546,1210012
1547,1210466
1548,1213616
1549,1217694
1550,1222137
1551,1221782
1552,1224606
1553,1229635
1554,1226775
1555,1235128
1556,1228468
1557,1238417
1558,1245547
1559,1246598
1560,1246757
1561,1249779
1562,1245467
1563,1250081
1564,1254551
1565,1256838
1566,1263236
1567,1256961
1568,1257817
1569,1261343
1570,1266283
1571,1265349
1572,1271583
1573,1268396
1574,1273224
1575,1272959
1576,1275244
1577,1283285
1578,1285226
1579,1282514
1580,1283525
1581,1288969
1582,1290035
1583,1293266
1584,1296839
1585,1297290
1586,1301644
1587,1303024
1588,1305618
1589,1307627
1590,1310975
1591,1316736
1592,1316535
1593,1317295
1594,1320120
1595,1319104
1596,1327053
1597,1333118
1598,1334057
1599,1344266
1600,1341624
1601,1342911
1602,1346308
1603,1351080
1604,1346989
1605,1356287
1606,1356292
1607,1370546
1608,1380062
1609,1361541
1610,1383629
1611,1374070
1612,1378424
1613,1380113
1614,1381894
1615,1386306
1616,1395473
1617,1396635
1618,1400141
1619,1389778
1620,1399984
1621,1402934
1622,1414194
1623,1405543
1624,1410777
1625,1413740
1626,1408120
1627,1408694
1628,1433757
1629,1429766
1630,1424123
1631,1435336
1632,1433255
1633,1440827
1634,1446068
1635,1443567
1636,1452077
1637,1438908
1638,1445562
1639,1450443
1640,1460710
1641,1464171
1642,1462779
1643,1470761
1644,1472325
1645,1470755
1646,1469162
1647,1479479
1648,1468870
1649,1481836
1650,1478477
1651,1489085
1652,1487481
1653,1486991
1654,1496756
1655,1492463
1656,1500034
1657,1502213
1658,1506356
1659,1510830
1660,1518245
1661,1517154
1662,1523787
1663,1523001
1664,1519980
1665,1520205
1666,1527389
1667,1522143
1668,1529422
1669,1524216
1670,1534837
1671,1547619
1672,1536278
1673,1545425
1674,1540460
1675,1544780
1676,1555042
1677,1552468
1678,1556224
1679,1547453
1680,1557165
1681,1566153
1682,1563302
1683,1572359
1684,1563126
1685,1569977
1686,1575763
1687,1574616
1688,1585801
1689,1585691
1690,1582035
1691,1587942
1692,1587798
1693,1589628
1694,1599455
1695,1593985
1696,1604205
1697,1600537
1698,1609239
1699,1623530
1700,1614305
1701,1615524
1702,1620389
1703,1622383
1704,1629648
1705,1630376
1706,1629544
1707,1637206
1708,1632667
1709,1643148
1710,1641109
1711,1644014
1712,1647808
1713,1663111
1714,1657543
1715,1656506
1716,1658358
1717,1663722
1718,1665966
1719,1681342
1720,1674063
1721,1674427
1722,1681888
1723,1684971
1724,1683383
1725,1690243
1726,1687848
1727,1688590
1728,1694300
1729,1693730
1730,1698099
1731,1700111
1732,1701526
1733,1711314
1734,1716177
1735,1717559
1736,1717791
1737,1724285
1738,1723836
1739,1724276
1740,1730591
1741,1732116
1742,1740870
1743,1752215
1744,1754612
1745,1753916
1746,1754131
1747,1765516
1748,1759340
1749,1766560
1750,1769607
1751,1771553
1752,1772481
1753,1785165
1754,1779451
1755,1784607
1756,1781919
1757,1794283
1758,1795331
1759,1790152
1760,1795630
1761,1797332
1762,1796853
1763,1821812
1764,1808921
1765,1807239
1766,1822021
1767,1817480
1768,1819603
1769,1836075
1770,1874318
1771,1821889
1772,1827511
1773,1826792
1774,1832132
1775,1833060
1776,1835724
1777,1840479
1778,1863508
1779,1857304
1780,1860055
1781,1864360
1782,1872057
1783,1880386
1784,1870325
1785,1864460
1786,1864345
1787,1871503
1788,1870170
1789,1879908
1790,1887760
1791,1890306
1792,1904399
1793,1902255
1794,1901480
1795,1898687
1796,1913879
1797,1903728
1798,1918133
1799,1916230
1800,1921544
1801,1920813
1802,1927547
1803,1932027
1804,1943734
1805,1941495
1806,1950778
1807,1935898
1808,1942777
1809,1942206
1810,1951952
1811,1950282
1812,1954392
1813,1962108
1814,1969901
1815,1969832
1816,1974434
1817,1980025
1818,1982211
1819,1984553
1820,1984021
1821,1988410
1822,1987305
1823,1998636
1824,1993927
1825,1999903
1826,2001449
1827,2005190
1828,2006224
1829,2014249
1830,2012246
1831,2024147
1832,2023184
1833,2026475
1834,2029174
1835,2027498
1836,2036325
1837,2037070
1838,2048257
1839,2043802
1840,2046207
1841,2055623
1842,2057670
1843,2063117
1844,2061027
1845,2064838
1846,2067800
1847,2072040
1848,2078396
1849,2078792
1850,2086512
1851,2083578
1852,2090339
1853,2094279
1854,2092932
1855,2099589
1856,2102727
1857,2107613
1858,2114754
1859,2112722
1860,2119066
1861,2124353
1862,2122907
1863,2128472
1864,2127269
1865,2131127
1866,2140437
1867,2141752
1868,2143342
1869,2150100
1870,2152477
1871,2154694
1872,2155566
1873,2163111
1874,2169713
1875,2168855
1876,2172344
1877,2178230
1878,2180746
1879,2183959
1880,2191723
1881,2187135
1882,2193796
1883,2202856
1884,2200293
1885,2207540
1886,2209062
1887,2209439
1888,2213311
1889,2217398
1890,2220956
1891,2238046
1892,2245673
1893,2242095
1894,2246957
1895,2249172
1896,2255721
1897,2259196
1898,2272172
1899,2267412
1900,2270801
1901,2267085
1902,2274130
1903,2266848
1904,2282011
1905,2285271
1906,2282135
1907,2282514
1908,2287006
1909,2291595
1910,2298478
1911,2302452
1912,2303460
1913,2313937
1914,2312081
1915,2315296
1916,2322569
1917,2323223
1918,2329585
1919,2343912
1920,2333612
1921,2344033
1922,2346425
1923,2352240
1924,2349837
1925,2351879
1926,2360899
1927,2359026
1928,2367357
1929,2364439
1930,2380093
1931,2392719
1932,2382577
1933,2388785
1934,2383157
1935,2387904
1936,2396604
1937,2398813
1938,2399845
1939,2414874
1940,2416677
1941,2415505
1942,2422023
1943,2433633
1944,2420924
1945,2432968
1946,2434258
1947,2437952
1948,2435023
1949,2441809
1950,2447625
1951,2453191
1952,2469140
1953,2462384
1954,2453413
1955,2464077
1956,2470101
1957,2476521
1958,2481410
1959,2494623
1960,2506349
1961,2499444
1962,2516716
1963,2513408
1964,2503320
1965,2504055
1966,2502879
1967,2513095
1968,2522542
1969,2520888
1970,2533620
1971,2525883
1972,2531466
1973,2532748
1974,2542654
1975,2539601
1976,2563348
1977,2550356
1978,2563792
1979,2566486
1980,2576262
1981,2567712
1982,2584116
1983,2578474
1984,2589431
1985,2618336
1986,2655879
1987,2672984
1988,2667278
1989,2636139
1990,2630024
1991,2676791
1992,2669108
1993,2637423
1994,2686380
1995,2682323
1996,2664442
1997,2724644
1998,2712003
1999,2675553
2000,2708771
